%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2023 121 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 70.00 4.70 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 121 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.30000 71.00 4.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 121 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 71.00 3.60 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 121 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 71.00 3.50 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.10 -999.00
2023 121 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 76.00 3.20 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 121 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 80.00 3.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.30 -999.00
2023 121 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 83.00 2.80 -999.00 -999.00 12.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 8.40 85.70 -999.00
2023 121 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 83.00 2.90 -999.00 -999.00 90.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 37.30 358.50 -999.00
2023 121 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.70000 76.00 3.90 -999.00 -999.00 216.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 58.00 596.40 -999.00
2023 121 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.90000 66.00 5.70 -999.00 -999.00 361.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 72.90 737.60 -999.00
2023 121 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.00000 57.00 7.20 -999.00 -999.00 493.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 79.00 815.30 -999.00
