%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
1983 173 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 65.00 14.40 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1983 173 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 65.00 12.30 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1983 173 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 65.00 10.80 -999.00 -999.00 0.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.50 0.00 -999.00
1983 173 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 58.00 10.20 -999.00 -999.00 15.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 14.90 13.91 -999.00
1983 173 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 57.00 10.30 -999.00 -999.00 76.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 50.40 213.18 -999.00
1983 173 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 53.00 11.70 -999.00 -999.00 194.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 81.90 459.57 -999.00
1983 173 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 50.00 13.10 -999.00 -999.00 321.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.80 595.32 -999.00
1983 173 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 48.00 13.50 -999.00 -999.00 337.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 208.80 260.02 -999.00
1983 173 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 43.00 14.50 -999.00 -999.00 540.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 180.30 590.03 -999.00
1983 173 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 41.00 17.10 -999.00 -999.00 648.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 149.60 706.17 -999.00
1983 173 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 40.00 18.40 -999.00 -999.00 752.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 130.50 800.52 -999.00
1983 173 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 43.00 18.40 -999.00 -999.00 810.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 127.00 835.70 -999.00
1983 173 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 42.00 19.00 -999.00 -999.00 822.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 125.30 844.68 -999.00
1983 173 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 40.00 19.50 -999.00 -999.00 793.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 123.20 838.25 -999.00
1983 173 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 44.00 17.90 -999.00 -999.00 686.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 73.40 826.03 -999.00
1983 173 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 47.00 17.60 -999.00 -999.00 569.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 163.10 617.78 -999.00
1983 173 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 45.00 17.60 -999.00 -999.00 463.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 152.60 562.89 -999.00
1983 173 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 45.00 17.60 -999.00 -999.00 342.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 135.60 479.66 -999.00
1983 173 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 41.00 16.50 -999.00 -999.00 238.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 66.30 568.12 -999.00
1983 173 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 43.00 15.40 -999.00 -999.00 115.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 47.30 379.85 -999.00
1983 173 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 44.00 14.40 -999.00 -999.00 19.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 16.00 59.29 -999.00
1983 173 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 63.00 11.10 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1983 173 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 70.00 9.50 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1983 173 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 77.00 8.10 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
